2025-10-24 00:49:48, MOVE, v:1, k:poo@relogio, mode:PICK
2025-10-24 00:49:51, EXEC, v:1, k:poo@relogio, mode:FULL, rate:0, size:42
2025-10-24 00:52:03, EXEC, v:1, k:poo@relogio, mode:FULL, rate:0, size:42
2025-10-24 01:06:47, EXEC, v:1, k:poo@relogio, mode:FULL, rate:0, size:61
2025-10-24 01:07:34, EXEC, v:1, k:poo@relogio, mode:FULL, rate:0, size:61
2025-10-24 01:08:04, EXEC, v:1, k:poo@relogio, mode:FULL, rate:0, size:61
2025-10-24 01:12:00, EXEC, v:1, k:poo@relogio, mode:FULL, rate:0, size:61
2025-10-24 01:12:56, EXEC, v:1, k:poo@relogio, mode:FULL, rate:0, size:61
2025-10-24 01:13:37, EXEC, v:1, k:poo@relogio, mode:FULL, rate:7, size:61
2025-10-24 01:27:42, EXEC, v:1, k:poo@relogio, mode:FULL, rate:0, size:61
2025-10-24 01:28:12, EXEC, v:1, k:poo@relogio, mode:FULL, rate:0, size:61
2025-10-24 01:28:39, EXEC, v:1, k:poo@relogio, mode:FULL, rate:0, size:61
2025-10-24 01:29:26, EXEC, v:1, k:poo@relogio, mode:FULL, rate:7, size:61
2025-10-24 01:34:22, EXEC, v:1, k:poo@relogio, mode:FULL, rate:7, size:59
2025-10-24 01:35:26, EXEC, v:1, k:poo@relogio, mode:FULL, rate:7, size:61
2025-10-24 01:39:29, EXEC, v:1, k:poo@relogio, mode:FULL, rate:7, size:63
2025-10-24 01:42:12, EXEC, v:1, k:poo@relogio, mode:FULL, rate:0, size:63
2025-10-24 01:43:47, EXEC, v:1, k:poo@relogio, mode:FULL, rate:0, size:63
2025-10-24 01:46:46, EXEC, v:1, k:poo@relogio, mode:FULL, rate:0, size:63
2025-10-24 01:46:49, EXEC, v:1, k:poo@relogio, mode:FULL, rate:0
2025-10-24 01:49:08, EXEC, v:1, k:poo@relogio, mode:FULL, rate:15, size:63
2025-10-24 01:51:08, EXEC, v:1, k:poo@relogio, mode:FULL, rate:38, size:63
2025-10-24 01:53:39, EXEC, v:1, k:poo@relogio, mode:FULL, rate:38, size:68
2025-10-24 01:55:07, EXEC, v:1, k:poo@relogio, mode:FULL, rate:69, size:68
2025-10-24 02:23:25, EXEC, v:1, k:poo@relogio, mode:FULL, rate:53, size:70
2025-10-24 02:24:36, EXEC, v:1, k:poo@relogio, mode:FULL, rate:84, size:70
2025-10-24 02:26:10, EXEC, v:1, k:poo@relogio, mode:FULL, rate:84, size:68
2025-10-24 02:28:16, EXEC, v:1, k:poo@relogio, mode:FULL, rate:0, size:70
2025-10-24 02:28:57, EXEC, v:1, k:poo@relogio, mode:FULL, rate:84, size:70
2025-10-24 02:30:59, EXEC, v:1, k:poo@relogio, mode:FULL, rate:84, size:70
2025-10-24 02:34:49, EXEC, v:1, k:poo@relogio, mode:FULL, rate:84, size:70
